Time, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, Angular Velocity x, Angular Velocity y, Angular Velocity z, Velocity x, Velocity y, Velocity z, Throttle, Brake, Steering
2.725105, -1.28957, 0.08669051, -32.72659, -0.003683858, 0.06975497, 0.0002309342, 0.001051575, 7.75467E-08, -0.0001628392, 9.311078E-06, 0.0006726831, 4.878165E-05, 0.0619461, 0, -0.02352257
2.741567, -1.289571, 0.08670148, -32.7266, -0.003675205, 0.06975497, 0.0002302054, 0.0009717081, -3.953301E-08, -0.000151214, 8.607576E-06, 0.0006460547, 4.501557E-05, 0.0765034, 0, -0.02352712
2.758065, -1.289571, 0.08671208, -32.7266, -0.003667117, 0.06975498, 0.0002295205, 0.0009717081, -3.953301E-08, -0.000151214, 8.607576E-06, 0.0006460547, 4.501557E-05, 0.07373068, 0, -0.02352561
2.77501, -1.289572, 0.08672226, -32.72661, -0.003659531, 0.06975498, 0.0002288782, 0.0008775369, -1.869821E-07, -0.0001364701, 7.778244E-06, 0.0005991608, 4.058421E-05, 0.06148392, 0, -0.02352977
2.791612, -1.289573, 0.08673143, -32.72661, -0.003652795, 0.06975498, 0.000228309, 0.0007721895, -2.206193E-07, -0.0001199103, 6.899366E-06, 0.0005349815, 3.563691E-05, 0.07349951, 0, -0.02352771
2.808054, -1.289573, 0.08673958, -32.72662, -0.003646853, 0.06975498, 0.0002278083, 0.0006580605, -2.481033E-07, -0.0001018984, 5.976367E-06, 0.0004581362, 3.028388E-05, 0.07465487, 0, -0.02352701
2.825443, -1.289574, 0.08674704, -32.72662, -0.003641414, 0.06975498, 0.0002273539, 0.0005385065, -3.448304E-07, -8.237685E-05, 5.018137E-06, 0.0003719181, 2.468082E-05, 0.06032856, 0, -0.023526
2.841291, -1.289574, 0.08675278, -32.72662, -0.00363719, 0.06975497, 0.000227008, 0.0004162003, -2.625125E-07, -6.308968E-05, 4.094487E-06, 0.0002818108, 1.895754E-05, 0.07442386, 0, -0.02352776
2.858357, -1.289574, 0.08675761, -32.72663, -0.00363361, 0.06975497, 0.0002267187, 0.0004162003, -2.625125E-07, -6.308968E-05, 4.094487E-06, 0.0002818108, 1.895754E-05, 0.07465487, 0, -0.02353114
2.875097, -1.289575, 0.08676092, -32.72663, -0.003631039, 0.06975497, 0.0002265158, 0.0002940398, -2.620518E-07, -4.379796E-05, 3.201882E-06, 0.0001899749, 1.324581E-05, 0.0621771, 0, -0.02354179
2.891686, -1.289575, 0.08676296, -32.72663, -0.003629284, 0.06975497, 0.0002263882, 0.000174603, -3.368559E-07, -2.430477E-05, 2.32077E-06, 0.0001003444, 7.665574E-06, 0.06171492, 0, -0.02354129
2.908158, -1.289575, 0.08676392, -32.72663, -0.003628307, 0.06975497, 0.0002263307, 5.960855E-05, -2.71848E-07, -5.922619E-06, 1.513072E-06, 1.688302E-05, 2.299877E-06, 0.07696559, 0, -0.02354244
