Velocity y,Velocity x,Rotation, Angular Velocity y,Steering transferred,Steering
-0.153810916,7.865989049,0.62276817,-0.184559978,-0.221090454,-0.361930139
-0.113735523,7.867094062,0.60676587,-0.138379794,-0.214682498,-0.351440167
-0.107844794,7.867152571,0.593663886,-0.135283369,-0.322410477,-0.527793337
-0.20822668,7.857411273,0.574574095,-0.261862434,-0.523721985,-0.857344888
-0.454894259,7.801035847,0.532435505,-0.574264465,-0.610865,-1
-0.629722035,7.72112788,0.461151732,-0.804053384,-0.610865,-1
-0.677315725,7.673252435,0.376004043,-0.879133611,-0.610865,-1
-0.68640606,7.640155041,0.287272241,-0.889206561,-0.610865,-1
-0.690813853,7.607582938,0.198485126,-0.886947308,-0.610865,-1
-0.691007094,7.577135399,0.109850682,-0.885608211,-0.610865,-1
-0.693394067,7.547262532,0.021402061,-0.883747738,-0.610865,-1
-0.695091986,7.517311902,-0.066881882,-0.88210077,-0.610865,-1
-0.694110218,7.488440356,-0.154999229,-0.880435968,-0.610865,-1
-0.696984682,7.45948573,-0.242929186,-0.878303177,-0.610865,-1
-0.69800202,7.431306594,-0.330642602,-0.876244464,-0.610865,-1
-0.697889412,7.40373043,-0.418128853,-0.872529913,-0.568032629,-0.929882428
-0.613450566,7.40556367,-0.500512446,-0.755975852,-0.47864127,-0.783546725
-0.456226949,7.429267325,-0.565097071,-0.555491244,-0.418923843,-0.685787928
-0.351965596,7.440247199,-0.612734115,-0.422098677,-0.386318296,-0.632411901
